,Headline,Sentiment
35,2022 NHL Draft first-round selection order set - NHL.com,0.0
36,People with COVID-19 can infect and sicken cats and dogs by cuddling them says study - SwiftCurrentOnline.com,-0.2
37,Deadly missile strike destroys shopping centre in central Ukraine city - CBC News,-0.636363636
38,Peel Region reports its first confirmed case of monkeypox - CP24 Toronto's Breaking News,0.0
39,‘Full House’ star Jodie Sweetin violently shoved by LAPD during pro-choice protest - Global News,-0.384615385
40,Amtrak derailment – live: At least three dead and 50 hurt after train derails in Missouri with 243 on board - The Independent,-0.583333333
41,Emma Raducanu and Andy Murray energise restored Wimbledon crowd - The Guardian,0.0
42,British Army chief: Ukraine is our '1937 moment' - The Telegraph,0.0
43,Northern Ireland protocol bill passes Commons vote - The Guardian,0.0
44,Andy Murray fights back to beat James Duckworth in Wimbledon first round - Sky Sports,-0.166666667
45,The DIY massage to beat a sluggish system: Gut health guru Dr MEGAN ROSSI - Daily Mail,-0.230769231
46,Ukraine war: Russian 'scumbag terrorists' condemned by Zelenskyy after 'calculated' missile strike on shopping centre - Sky News,-0.785714286
47,Toxic yellow chlorine explosion at Jordan port kills at least 13 and injures 250 - Sky News,-0.727272727
48,Olaf Scholz says world must 'avoid Putin's trap' and claims of discord - The Guardian,-0.4
49,Police name woman 35 'murdered by stranger' in Ilford as man arrested - The Independent,-0.444444444
50,Evil killer who murdered Helen McCourt dies taking final resting place to grave - Liverpool Echo,-0.615384615
51,What exactly is the FCA investigating about Kristo Käärmann's tax records? - The Guardian,0.0
52,France pushes for higher global oil production at G7 summit - Financial Times,0.0
53,Andrew Bailey faces Bank of England mutiny over staff pay rise - The Telegraph,0.0
54,Coldplay's Chris Martin surprises bargoers with performance at pub - Sky News,0.0
55,Sock marks on your ankles could be a warning sign for serious heart problems - Manchester Evening News,-0.363636364
56,Birmingham explosion: Woman found dead and man seriously hurt - BBC,-0.555555556
57,Mystery rocket crashes into the Moon – and no one (on Earth) is owning up - The Telegraph,-0.222222222
58,'Super earths' may be even more habitable than our own planet study says - Daily Mail,0.272727273
59,American football coach suspended after praying with team has rights upheld by US Supreme Court - Sky News,0.615384615
60,NASA delays its Psyche asteroid mission - ZDNet,-0.142857143
61,Ekweremadu wife ask court to compel NIMC NIS UBA others to provide details of organ 'donor' - The Nation Newspaper ,0.066666667
62,Apple Watch Series 8 rumored to feature new Low Power Mode - 9to5Mac,0.2
63,Fabrizio Romano claims United and Barcelona agreement is getting closer - Stretty News,0.2
64,NJC will probe ex-CJN Tanko — Okocha - Vanguard,0.0
65,Voter registration: Fresh registrants hit 10.4 million says INEC - Punch Newspapers,0.1
66,Terrorists own guns Nigerians should carry too – Yoruba council backs Zamfara govt - Daily Post Nigeria,-0.153846154
67,PDP worried over Obasanjo’s ‘mistake’ comment on Atiku - Punch Newspapers,-0.625
68,Play Network's 'Glamour Girls' Tops Netflix Global Charts Reaches Top 10 Movies Worldwide In 3 Days - Guardian Nigeria,0.666666667
69,'CBN could increase interest rate to 15%' The Nation Newspaper - The Nation Newspaper ,0.25
70,Astronomers Combine 64 of the World's Most Powerful Telescopes to Help Map the Structure of the Universe - Galaxy Reporters,0.363636364
71,BET Awards 2022: Historic moment for Africa afrobeats African Music - Vanguard,0.333333333
72,Ogun workers declare indefinite strike - Premium Times,-0.142857143
73,APC reacts to reports of voting N6.5 trillion for bribery vote buying in 2023 general election - Nairametrics,0.166666667
74,NGX resumes week on a bullish note with the market capitalization up by N139 billion - Nairametrics,0.0
75,Senator Godiya Akwashiki dumps APC - P.M. News,-0.142857143
76,430 Kebbi Pilgrims Airlifted to Saudi Arabia - THISDAY Newspapers,0.0
77,Asus ZenBook 14X OLED Space Edition Review: An ideal combination of power and looks - BGR India,0.153846154
78,Fitch Rates Bank One Limited 'BB-'; Outlook Stable - Fitch Ratings,0.1
79,ASUU strike: Ngige not headache of varsity lecturers says labour ministry - Guardian Nigeria,0.083333333
80,'Cold hard winter': Flu season could last until late August under 'worst case scenario' - New Zealand Herald,-0.4
81,Nasa comes to Mount John for the largest telescope in New Zealand - Stuff,0.0
82,Family First does not qualify for charitable status Supreme Court rules - RNZ,-0.545454545
83,Rugby: Will Jordan the latest All Blacks star to test positive for Covid-19 ahead of Ireland test - New Zealand Herald,0.133333333
84,National MP Simon O'Connor speaks about removing anti-abortion social media post at Chris Luxon's request - New Zealand Herald,0.0
85,Tiny home owners snap up land leases as soon as they appear online - Stuff,0.0
86,Waikato Expressway just got more express: 110kph speed limit confirmed - Stuff,-0.111111111
87,Final preparations underway for Rocket Lab's Moon mission on Tuesday evening - Stuff,0.1
88,'Methamphetamine queen' free: Dealer who buried cash hid gun in dominatrix outfit gets parole - Stuff,-0.076923077
89,GPs urge mildly sick people to treat illness at home as health system struggles with 'extraordinary' demand - Newshub,-0.5
90,Full House star Jodie Sweetin shoved by LAPD at Roe protest: 'Our activism will continue' - Stuff,-0.076923077
91,Penrose fire: Crews contain blaze warning for residents to stay indoors lifted - New Zealand Herald,-0.307692308
92,Ben Affleck's 10-year-old son hits parked car with Lamborghini - New Zealand Herald,0.0
93,Overwatch’s Latest Skin Requires You To Gift Subs To Twitch Streamers Such As xQc - Forbes,0.2
94,1000 car enthusiasts descend on Forbury Park Raceway in Dunedin - New Zealand Herald,0.3
95,Washed away - more houses on the brink at beach town - Stuff,0.0
96,Consumer NZ finds some laundry detergents 'worse than water' - Stuff,-0.375
97,Breakfast briefing; In the economic arm wrestle the US outpaces China - Interest.co.nz,0.222222222
98,Split Enz Crowded House: New Kiwi supergroup Another Life announces North Island tour - New Zealand Herald,-0.066666667
99,NZ recession 'almost certain' says independent economist - New Zealand Herald,-0.1
100,No work in Manila trial courts June 29-30 - Manila Bulletin,0.0
101,Pollution linked to 10% of cancer cases in Europe: report - Philstar.com,-0.428571429
102,National Museum: More than just Marcos Jr.'s inauguration venue - Rappler,0.0
103,G7 denounces 'war crime' as Russian strike kills shoppers - Philstar.com,-1.222222222
104,Kyrie Irving plans to exercise $36.5 million player option on Brooklyn Nets contract - USA TODAY,0.0
105,NASA delays its Psyche asteroid mission - ZDNet,-0.142857143
106,Monkeypox case count rises to more than 3400 globally WHO says - Reuters.com,0.142857143
107,2 Your Well-Being: Reviewing all you need to know about the pandemic - WFMYNews2.com,0.0
108,'Top Gun: Maverick' Soars As Tom Cruise's First Billion-Dollar Movie - CNET,0.1
109,GMC Hummer EV Becomes the King of Clearance With Extract Mode - GearJunkie,0.0
110,Fuel prices up anew; release of cash aid urged - INQUIRER.net,0.0
111,Study: After getting hospitalized for COVID some unvaccinated Latino patients went on to advocate for vaccinations - Colorado Public Radio,-0.153846154
112,KUWTT: Covid positivity rates climb - OCTA | June 28 2022 - The Manila Times,0.222222222
113,Gilas Pilipinas U16 squad makes waves in Asian tourney - INQUIRER.net,0.0
114,TWICE's Nayeon's “POP!” Song Lyrics Explained - Elite Daily,0.0
115,2022 Candidates Tournament | Round with many victories | Finally Firouzja won: Standings and clashes for th... - Bolavip,0.363636364
116,Lee Leads RAMA With T2 Finish At KPMG Women's PGA - LPGA,0.222222222
117,Making dark semiconductors shine - Phys.org,-0.2
118,Researchers Develop Microfluidic System for Potential Lab-on-a-Chip Devices - AZoNano,0.0
119,Preparing tomorrow's medical specialists for participating in oncological multidisciplinary team meetings: perceived barriers facilitators and training needs - BMC Medical Education - BMC Medical Education,-0.05
120,Daily and on-demand HIV pre-exposure prophylaxis with emtricitabine and tenofovir disoproxil (ANRS PREVENIR): a prospective observational cohort study - The Lancet,0.066666667
121,Facebook ads are targeting cancer patients with risky treatments - Input,-0.375
122,Polar Bears in Greenland Are Surprising Researchers - The Wall Street Journal,0.0
123,Robot-Assisted Surgical Devices Market Driven by Increased Demand for Patient-Specific Surgeries - HospiMedica,0.0
124,Guidelines for measuring reactive oxygen species and oxidative damage in cells and in vivo - Nature.com,-0.3
125,Scientists grow food in complete darkness using artificial photosynthesis - Yahoo Singapore News,0.181818182
126,Incidence rate for Novavax's adverse reactions higher than other COVID vaccines: HSA data - Yahoo Singapore News,0.0
127,Singapore firm collaborates with A*STAR to launch air sanitisers using technology that eliminates coronaviruses bacteria - CNA,0.230769231
128,Marsiling HDB flats' acquisition: Little to no top-ups for new replacement flats - The Straits Times,0.0
129,Dortmund chief labels former Liverpool man an ‘arrogant idiot’ over Mane claims - Yahoo Singapore News,-0.384615385
130,'Extensive and sickening': Man jailed 45 years for sex offences against 8 children - CNA,-0.4
131,Indonesia names jailed ex-Garuda chief a suspect in new graft case - CNA,-0.3
132,GrabFood rider dies after his e-bike collides with lorry near Waterway Point - STOMP,-0.4
133,ESA tests remote controlling of Moon rover in simulated lunar environment of Mount Etna - Republic World,0.0
134,A 'price cap' on Russian oil: What would that mean? - CNA,0.0
135,Marks & Spencer Reopens At Raffles City After 6 Months Massive Food Hall Has Grocer & Bakery Marks & Spencer Reopens At Raffles City After 6 Months Massive Food Hall Has Grocer & Bakery - MS News,0.0
136,30-year-old Singaporean pianist goes from living on the streets to becoming Steinway Artist - AsiaOne,0.2
137,Dengue in Southeast Asia: How our warming planet will change the future of 'breakbone fever' - Eco-Business,0.0
138,Barcelona wanted Harry Maguire as part of De Jong deal? We’ve heard it all now - Yahoo Singapore News,-0.076923077
139,Kean Yew not deterred Zii Jia out to dethrone him at World Championship - theSundaily,0.0
140,Ukraine's Zelenskyy asks G-7 leaders for more help as Russia attacks key cities; NATO to massively increase rapid response force - CNBC,0.176470588
141,Federal Agents Seized Phone of John Eastman Key Figure in Jan. 6 Plan - The New York Times,0.0
142,U.S. Supreme Court endorses football coach's on-field prayers - Reuters.com,0.888888889
143,California voters to decide on enshrining abortion protections into state constitution - KCRA Sacramento,0.0
144,Inside Four Abortion Clinics the Day Roe Ended - The New York Times,-0.1
145,Mary Mara Dies In Apparent Drowning: ‘Nash Bridges’ ‘ER’ ‘Law & Order: SVU’ Actor Was 61 - Deadline,-0.384615385
146,Kyrie Irving says he's opting in to $36.5 million option with Brooklyn Nets - ESPN,0.0
147,Russian rocket strike hits crowded shopping mall in Ukraine as Zelenskyy fears 'unimaginable' toll - CBS News,-0.428571429
148,'This is not over': VP Harris warns Supreme Court could target gay marriage contraception next - USA TODAY,0.0
149,Sam Bankman-Fried's FTX is reportedly looking into buying Robinhood - The Verge,0.0
150,JetBlue ups offer for Spirit Airlines as shareholder vote on Frontier bid nears - CNBC,0.181818182
151,Stock Market Eases; What To Watch For This Week As Market Tries To Build On Uptrend - Investor's Business Daily,0.166666667
152,Charges downgraded against Staten Island supermarket worker who slapped Giuliani in back for anti-choice stance - New York Daily News,-0.0625
153,Amtrak train with 243 passengers derails in Missouri after hitting dump truck - CNN,-0.333333333
154,Russia in historic default as Ukraine sanctions cut off payments - Reuters.com,-0.111111111
155,Deandre Ayton Miles Bridges headline one of the most exciting restricted free-agent classes ever - CBS Sports,0.076923077
156,Douglas County identifies first case of monkeypox - KETV Omaha,0.0
157,Prince Charles denies wrongdoing over bags-of-cash claim involving Qatari politician - Fox News,-0.363636364
158,Crypto hedge fund Three Arrows Capital in default on $665 million loan - The Washington Post,0.0
159,OnePlus' Nord N20 5G is now available unlocked - The Verge,0.0
160,Three people in custody after 46 migrants found dead inside truck in Texas - 9News,-0.3
161,Jacked Orlando Bloom pictured in Qld gym - news.com.au,0.0
162,Melbourne Demons AFL gun Clayton Oliver extends lead in Coaches’ Association Champion Player of the Year award but former captain Jack Viney takes full votes - 7NEWS,0.318181818
163,Intel Arc Pro A50 workstation GPU: ACM-G11 with 6GB of GDDR6 memory - TweakTown,0.0
164,27yo teacher’s ‘life ruined’ by vaccine - news.com.au,-0.333333333
165,Men have pelvic floors too – and can benefit when they exercise them regularly - The Conversation,0.25
166,Rudy Giuliani claims supermarket worker's pat on the back was violent assault - 9News,-0.4
167,Dogs tilt their heads - Great Moments In Science - ABC News,0.375
168,‘Stroke symptoms’: Star’s mid-gig emergency - news.com.au,-0.333333333
169,Anthony Albanese extends term of General Angus Campbell as Chief of the Defence Force - ABC News,0.166666667
170,Law & Order actor Mary Mara dead age 61 after ‘drowning in river’ - PerthNow,-0.5
171,Sri Lanka suspends fuel sales for two weeks as economic crisis worsens - The Guardian,-0.636363636
172,‘Flashing red’: Fears as ‘tipping point’ looms - news.com.au,-0.428571429
173,The radical Blues gamble Freddy has to consider to end 17-year Suncorp drought - Fox Sports,0.0
174,The Day Before dev wants unpaid volunteers to ship Steam's most wishlisted game - Stevivor,0.1
175,Covid-booster response hope for most vulnerable - BBC,0.4
176,The Loop: Ukraine shopping centre attack 'act of terrorism' Australia's millennials overtaking boomers and surprise Capitol riot hearing - ABC News,-0.352941176
177,Apple hinders SSD speeds on the entry level M2 MacBook Pro - Macworld,-0.2
178,Rocket Lab & NASA ready to launch CAPSTONE to the Moon - NASASpaceFlight.com - NASASpaceflight.com,0.111111111
179,46 migrants found dead inside truck trailer in San Antonio Texas: officials - Global News,-0.25
180,Freedom convoy leader Tamara Lich arrested in Alberta accused of breaching bail conditions - CBC.ca,-0.333333333
181,Juno-nominated comedian Nick Nemeroff dead at 32 - CBC News,-0.428571429
182,Angels’ Wantz Mariners’ Winker suspended following bench-clearing brawl - Sportsnet.ca,-0.111111111
183,'Law & Order' actress Mary Mara dead at 61 after drowning in NY river - Page Six,-0.454545455
184,Russian missile kills at least 16 civilians injures more than 40 in strike on crowded shopping centre in Ukraine - The Globe and Mail,-0.538461538
185,Raheem White disappearance: police release new video appealing to public - CP24 Toronto's Breaking News,0.076923077
186,From the Canucks to the Hall of Fame the reunion between the Sedins and Luongo is special - Sportsnet.ca,0.125
187,Sudbury news: Northern agencies highlight national HIV testing day | CTV News - CTV News Northern Ontario,0.133333333
188,Company buying Trump's social media app faces subpoenas - Yahoo Canada Finance,-0.181818182
189,Deals: Apple's 16-inch MacBook Pro dips to $2279 & it's in stock - AppleInsider,0.0
190,G7 leaders discuss cap on price of Russian gas to squeeze war funds - CP24 Toronto's Breaking News,-0.142857143
191,Makar gets love from Orr after winning 2022 Norris Conn Smythe Trophies - NHL.com,0.6
192,Dozens die from heat exhaustion in truck near Texas/Mexico border - Sky News,-0.5
193,Doctors demand 30% pay rise as some medics say they may have to go on strike - Sky News,-0.181818182
194,Ukraine news – live: At least 13 dead as Russian missile strikes Kremenchuk mall - The Independent,-0.181818182
195,Manchester United close to agreeing terms with Barcelona over midfielder Frenkie de Jong - Daily Mail,0.166666667
196,'I was MORTIFIED!' Fiona Bruce 58 admits she was embarrassed into exercising by her GP - Daily Mail,-0.3
197,Johnson issues open invitation to Russian scientists 'dismayed by Putin's violence' - The Guardian,-0.4
198,Erik ten Hag speaks to Manchester United stars for 'several minutes' before first training session as Ste... - talkSPORT,-0.071428571
199,Wimbledon 2022 LIVE: Andy Murray battles to four-set win under the roof after Emma Raducanu victory - The Independent,0.583333333
200,Britney Spears' ex Jason Alexander 'attempted to enter her bedroom while she was in it' - Daily Mail,0.0
201,Birmingham explosion: 'Heroic' community praised - BBC,1.0
202,Barristers walk out of courts in strike over pay - BBC,-0.333333333
203,France wants cap on oil prices worldwide — not just Russia - POLITICO Europe,0.090909091
204,Engineers resolve single photons 70x faster than other techniques - Tech Explorist,0.222222222
205,Bargain hunting persists as 18 stocks lift indices higher by N139b - Guardian Nigeria,0.2
206,Group unveils code of conduct for blockchain services - Guardian Nigeria,0.0
207,IMG's operational efficiencies cost control measures aid profit by 27% - Guardian Nigeria,0.2
208,NASA's Curiosity takes inventory of key life ingredient on Mars - EurekAlert,0.0
209,Afreximbank’s payment solution to save traders $5bn - Punch Newspapers,0.25
210,Mysterious rocket crash site creates odd double crater on moon astronomers say - USA TODAY,-0.307692308
211,Doctors have revealed babies born during the Covid-19 pandemic are becoming seriously ill after contracting viruses they haven’t encountered before - TDPel Media,-0.125
212,RSV: Virus that threatens infants circulating again in 2022 - News24,-0.285714286
213,Imo residents defy sit-at-home order grounds Anambra - Punch Newspapers,0.0
214,Supreme Court crisis: NBA wants ex-CJN probed Ariwoola sworn in workers demand autonomy - Punch Newspapers,0.071428571
215,Irabor to AGF: Does Zamfara Governor have powers to tell people to carry gun? - Vanguard,0.090909091
216,Man Utd rejected Barcelona request for Harry Maguire swap included in Frenkie de Jong deal - Paper Talk - Sky Sports,-0.176470588
217,Mikel Arteta’s Dusan Vlahovic 'dig' proven right ahead of Gabriel Jesus Arsenal transfer switch - Football.London,0.214285714
218,1News weather presenter Renee Wright welcomes baby girl - 1News,0.222222222
219,Industrial building destroyed by fire in Auckland's Penrose - 1News,-0.714285714
220,Dr Nikki Turner: Getting vaccinated against the flu is more about protecting others - Newstalk ZB,-0.090909091
221,Texas migrant deaths: 46 people found dead in abandoned truck 16 taken to hospital - Stuff,-0.818181818
222,Political figure loses suppression appeal but may seek Supreme Court date - New Zealand Herald,0.384615385
223,TVNZ avoids questions over Eat Well for Less Ganesh Raj's suitability to host show - New Zealand Herald,0.0
224,Rugby: Sam Cane projects calm as Will Jordan latest All Blacks Covid case - New Zealand Herald,0.142857143
225,Supermarket shopper's scathing note over $6 butter chicken ready-meal - New Zealand Herald,0.0
226,Get a Fat Bastard Pie subscription from Invercargill to anywhere in New Zealand - Stuff,-0.555555556
227,New Zealand-born Bundee Aki to captain Ireland against Māori All Blacks - Stuff,0.0
228,NZ Transport Agency presses ahead with Waikato Expressway speed limit increase to 110km/h - Newshub,0.0
229,Covid-19 Omicron outbreak: 8028 Covid cases 16 deaths as second booster jabs begin Covid app erases personal details - New Zealand Herald,-0.222222222
230,Cervical cancer symptoms: The change that means you might have cervical cancer - New Zealand Herald,-0.2
231,Flu season could last until late August under 'worst case scenario' - Stuff,-0.5
232,Video emerges of Prince William yelling at 'disgusting' photographer he claims is stalking his children - Newshub,-0.454545455
233,They Found Two New Craters on the Moon and Discovered a New Mystery - The New York Times,0.0
234,Meghan and Harry seen visiting Oprah Winfrey's estate in the US - Stuff,0.0
235,Dengue cases in NegOr double from last year - pna.gov.ph,0.0
236,DOH: Metro Manila may see up to 4600 COVID cases a day by mid-July - Philstar.com,0.0
237,Reports: John Wall will receive buyout join Clippers - Reuters.com,0.111111111
238,Sri Lanka stops fuel supply to non-essential services as crisis worsens - CNN,-0.7
239,World leaders condemn 'abominable' Russian attack on Ukraine shopping centre - The Guardian,-0.3
240,Philippines allocates 1.57 GW of solar in 2 GW renewables auction - pv magazine Australia,0.0
241,Save up to P2000 when you purchase vivo Y76 5G | BMPlus - BusinessMirror,0.111111111
242,To guide us out of the pandemic we need the advice of experts - Manila Bulletin,0.25
243,TikTok Twitter Erupts for BTS Kim Taehyung Blackpink Lisa at Celine – WWD - WWD,0.0
244,Researchers develop new chemistry on natural compounds to obtain a therapeutic agent for treating leukemia - News-Medical.Net,0.083333333
245,How Much Will Singapore Rents Rise? Surging Prices Put Expats Under Pressure - Bloomberg,-0.1
246,Chinese city desperate for home buyers entices villagers with job prospects - CNA,-0.2
247,Prosus (AMS:PRX) to Sell Tencent (HKG:700) Shares to Bankroll Buyback Program - Bloomberg,0.1
248,Record 45 years' jail for 'tutor' who raped sexually abused 8 children in 'exceptionally sickening' case - TODAY,-0.75
249,BGI Group Continues To Lead In Life Sciences 22 Years After The Human Genome Project - PR Newswire APAC - PR Newswire Asia,0.25
250,Frustration anger rising among Democrats over caution on abortion - The Washington Post,-0.555555556
251,Russian airstrike hits busy shopping mall in central Ukraine sparking fears of mass casualties - CNN,-0.230769231
252,Kyrie Irving to opt in - What it means for the Brooklyn Nets and the future of their star point guard - ESPN,0.0
253,Deshaun Watson: NFL recommends suspension of no less than a year - USA TODAY,0.2
254,Sources: John Wall Rockets agree to contract buyout; Clippers likely to sign 5-time All-Star in free agency - Yahoo Sports,0.25
255,Mary Mara 'ER' and 'Ray Donovan' actress dead at 61 - CNN,-0.375
256,Jan 6 hearing – live: Trump lawyer stopped by FBI ahead of surprise testimony by mystery witness - The Independent,0.230769231
257,Angels-Mariners brawl: Jesse Winker J.P. Crawford among 12 suspended for benches-clearing fight - CBS Sports,-0.25
258,Biden's nominee to run Immigration and Customs Enforcement withdraws - The Washington Post,-0.333333333
259,See Kendall Jenner and Devin Booker Reunite After Breakup - E! NEWS,0.0
260,Abortion and Roe v. Wade Supreme Court Ruling News: Live Updates - The New York Times,0.384615385
261,At least 3 dead multiple injured after Amtrak train derails in Missouri - CBS News,-0.7
262,Investors could do 'a lot worse' than FedEx here Jim Cramer says - CNBC,-0.375
263,46 people found dead in 18-wheeler on Southwest Side multiple sources report - KSAT San Antonio,-0.25
264,JetBlue Raises Offer to Buy Spirit Airlines—Again - The Wall Street Journal,0.222222222
265,Judge will soon decide whether to block Florida's 15-week abortion ban - POLITICO,-0.363636364
266,Weed users nearly 25% more likely to need emergency care and hospitalization - CNN,0.0
267,OnePlus Nord N20 5G is now available in the US unlocked - GSMArena.com,0.25
268,Free flu jab rollout extended in Victoria | Bay Post-Moruya Examiner | Batemans Bay NSW - Bay Post-Moruya Examiner,0.0
269,ELA successfully conducts Australia's first ever commercial space launch - SpaceWatch.Global,0.4
270,Labor unveils 'clean slate policy' as part of last-minute tweak to controversial jobseeker reforms - ABC News,0.0
271,Why has Russia defaulted on its foreign debt? And what will the impact be? - ABC News,-0.2
272,Peter Coaldrake's review into accountability of Queensland's public sector released makes 14 recommendations - ABC News,0.166666667
273,New MacBook Pro may be Apple’s forgotten child - Courier Mail,-0.111111111
274,Survivors describe Russia's missile attack on a crowded shopping mall in Ukrainian city of Kremenchuk - ABC News,0.0
275,Esko launches new ArtPro + Digital - Print21,0.166666667
276,Heatwave hits Japan breaking temperature record in Tokyo - ABC News,0.0
277,Abdo to summon Radley for ‘please explain’ over lewd gesture - Sydney Morning Herald,0.3
278,NRL Team Lists: Round 16 - NRL.COM,0.0
279,’Felt bad for him’: Co-star’s Chris confession - news.com.au,-0.5
280,NSW Premier Dominic Perrottet discussed New York trade role with John Barilaro at a social function - ABC News,0.0
281,Wild Margot Robbie Ryan Gosling pics - news.com.au,0.0
282,Wally Masur backs Nick Kyrgios to 'cause a lot of damage' at Wimbledon - Wide World of Sports,-0.166666667
283,Multi-country monkeypox outbreak: situation update - World Health Organization,-0.25
284,Welcome to the House of Fuji Fun - Inside Imaging,1.0
285,United Nations chief Antonio Guterres says 'egoism' preventing global deal to protect oceans - ABC News,0.071428571
286,Cops reveal how prisoners escaped in the night - Townsville Bulletin,-0.428571429
287,AWS and Microsoft Working Together on PyWhy the New Home of Casual ML Library DoWhy - InfoQ.com,-0.25
288,OnePlus 10RT camera specs leaked: New value flagship from OnePlus? - Android Authority,0.181818182
289,Apple MacBook Pro M2 SSD performance falls short of its M1 predecessor - XDA Developers,-0.076923077
290,Watch Rocket Lab launch NASA’s CAPSTONE mission to the moon live - TechCrunch,0.3
291,It's official: Xiaomi 12S series with Leica-tuned cameras is coming on July 4 - GSMArena.com news - GSMArena.com,0.0
292,Mary Mara Actress in ‘ER’ and ‘Law & Order’ Dies at 61 - Hollywood Reporter,-0.333333333
293,Canuck icons Henrik Daniel Sedin Sens star Alfredsson lead 2022 Hockey Hall of Fame class - CBC Sports,0.2
294,3 dead several hurt after Amtrak train derails in Missouri after hitting truck - CBC News,-0.818181818
295,7 Amazing Dark Sky National Parks - AARP,0.5
296,Tom Cruise Pens Sweet Message As Top Gun: Maverick And More Films Crush At The Box Office - CinemaBlend,0.153846154
297,Who is playing at Wimbledon today? Day 2 order of play including Serena Williams and Rafael Nadal - The Independent,0.166666667
298,San Antonio trailer deaths - latest: 46 bodies found in Texas in potential smuggling as governor blames Biden - The Independent,-0.428571429
299,Royal Mail strike moves closer as ballot papers are sent out in pay row - Sky News,-0.166666667
300,Nicola Sturgeon accused of sowing 'division and strife' over plan for second Scottish independence referendum – UK politics live - The Guardian,0.133333333
301,Royal Family LIVE: Meghan and Harry SECOND interview fears as couple spotted on Oprah trip - Express,-0.153846154
302,Zara Aleena: Woman killed in Ilford was kind soul say friends - BBC,0.0
303,Heathrow told to reduce passenger charge - BBC,-0.333333333
304,Kingstanding gas explosion victim named as grandmother Doreen Rees-Bib - Birmingham Live,-0.1
305,Transfer news LIVE - Liverpool 'expected' to make £26m bid and Ronaldo latest - The Mirror,0.2
306,Real Madrid were 'LUCKY' to win the Champions League claims Man City chief Ferran Soriano - Daily Mail,0.642857143
307,Net zero red tape to be ditched as Britain returns to coal - The Telegraph,0.0
308,Raw recap & reactions (June 27 2022): 20 years of not seeing him - Cageside Seats,0.0
309,Arthritis getting you down? Positive thinking could ease your symptoms - The Telegraph,0.5
310,Life for those who kill emergency workers among criminal justice reforms coming into force - Sky News,-0.583333333
311,Ghislaine Maxwell sentencing: Who will speak where will she be imprisoned and how long will she spend behind bars? - Sky News,-0.3125
